IP_Address	MAC_Address	Non-Std_Ports	Potential_DDoS	L_Pkt_Size	Unsolicitated_ARP_Replies	Unusually_L_DNS	Excessive_ICMP_Echo_Req	Excessive_TCP_SYN	Excessive_Port_Scanning	MDP(%)
172.17.152.122	00:e0:4c:0c:1d:fb	0	0	0	0	0	0	0	0	0.0
172.17.153.62	8c:ec:4b:ce:79:26	0	0	0	0	0	0	0	0	0.0
172.17.152.118	a4:bb:6d:8a:0d:c9	0	0	0	0	0	0	0	0	0.0
172.17.155.52	d4:3d:7e:48:62:c5	0	0	0	0	0	0	0	0	0.0
172.17.158.66	8c:ec:4b:55:d9:c0	0	0	0	0	0	0	0	0	0.0
172.17.153.241	8c:ec:4b:ce:79:7b	0	0	0	0	0	0	0	0	0.0
172.17.153.187	00:e0:4c:0b:3c:b8	0	0	0	0	0	0	0	0	0.0
172.17.154.116	78:45:c4:3e:20:4e	0	0	0	0	0	0	0	0	0.0
172.17.153.79	a8:b1:3b:7c:62:42	0	0	0	0	0	0	0	0	0.0
172.17.154.159	00:e0:4c:0b:3f:c6	0	0	0	0	0	0	0	0	0.0
172.17.153.123	8c:ec:4b:ce:ab:d1	0	0	0	0	0	0	0	0	0.0
172.17.156.16	8c:ec:4b:4a:15:b6	0	0	0	0	0	0	0	0	0.0
172.17.157.248	a4:bb:6d:8a:09:a4	0	0	0	0	0	0	0	0	0.0
172.17.153.68	e4:54:e8:9d:0a:3f	0	0	0	0	0	0	0	0	0.0
172.17.153.19	8c:ec:4b:56:24:9f	0	0	0	0	0	0	0	0	0.0
172.17.153.45	00:e0:4c:0b:3f:de	0	0	0	0	0	0	0	0	0.0
172.17.153.40	78:45:c4:3d:f6:33	0	0	0	0	0	0	0	0	0.0
172.17.158.48	8c:ec:4b:ce:ab:84	0	0	0	0	0	0	0	0	0.0
172.17.158.148	c0:25:a5:92:b3:4f	0	0	0	0	0	0	0	0	0.0
172.17.158.100	00:e0:4c:0c:1c:77	0	0	0	0	0	0	0	0	0.0
172.17.152.232	8c:ec:4b:ce:ac:a7	0	0	0	0	0	0	0	0	0.0
172.17.156.175	8c:ec:4b:4a:16:80	0	0	0	0	0	0	0	0	0.0
172.17.153.97	e4:54:e8:9d:09:14	0	0	0	0	0	0	0	0	0.0
172.17.154.120	d4:3d:7e:48:62:a7	0	0	0	0	0	0	0	0	0.0
172.17.154.22	00:e0:4c:0b:3c:f9	0	0	0	0	0	0	0	0	0.0
172.17.157.1	00:e0:4c:0b:3e:72	0	0	0	0	0	0	0	0	0.0
172.17.154.95	8c:ec:4b:ce:b6:77	0	0	0	0	0	0	0	0	0.0
172.17.154.38	8c:ec:4b:ce:a7:ee	0	0	0	0	0	0	0	0	0.0
172.17.153.211	50:eb:f6:df:ec:82	0	0	0	0	0	0	0	0	0.0
172.17.153.174	78:45:c4:3e:20:b2	0	0	0	0	0	0	0	0	0.0
172.17.40.3	1c:e6:c7:52:a7:00	1	0	0	0	0	0	0	0	12.5
172.17.153.127	8c:ec:4b:ce:5e:3f	0	0	0	0	0	0	0	0	0.0
172.17.157.200	5c:60:ba:be:90:0f	0	0	0	0	0	0	0	0	0.0
172.217.167.195	1c:e6:c7:52:a7:00	1	0	0	0	0	0	0	0	12.5
